pizza_ingredients,Total_Quantity
Barbecued Chicken,65693.5395811593
Red Peppers,24635.07734293474
Green Peppers,32846.76979057965
Tomatoes,49270.15468586948
Red Onions,98540.30937173896
Barbecue Sauce,24635.07734293474
Barbecued Chicken,49270.15468586948
Red Peppers,16423.384895289826
Green Peppers,24635.07734293474
Tomatoes,32846.76979057965
Red Onions,65693.5395811593
Barbecue Sauce,16423.384895289826
Barbecued Chicken,32846.76979057965
Red Peppers,8211.692447644913
Green Peppers,32846.76979057965
Tomatoes,16423.384895289826
Red Onions,32846.76979057965
Barbecue Sauce,8211.692447644913
Bacon,246350.77342934738
Pepperoni,82116.92447644913
Italian Sausage,16423.384895289826
Chorizo Sausage,82116.92447644913
Brie Carre Cheese,49270.15468586948
Prosciutto,49270.15468586948
Caramelized Onions,
Pears,16423.384895289826
Thyme,8211.692447644913
Garlic,8211.692447644913
?duja Salami,98540.30937173896
Pancetta,147810.46405760842
Tomatoes,49270.15468586948
Red Onions,98540.30937173896
Friggitello Peppers,24635.07734293474
Garlic,24635.07734293474
?duja Salami,65693.5395811593
Pancetta,98540.30937173896
Tomatoes,32846.76979057965
Red Onions,65693.5395811593
Friggitello Peppers,16423.384895289826
Garlic,16423.384895289826
?duja Salami,32846.76979057965
Pancetta,49270.15468586948
Tomatoes,16423.384895289826
Red Onions,32846.76979057965
Friggitello Peppers,8211.692447644913
Garlic,8211.692447644913
Chicken,246350.77342934738
Artichokes,32846.76979057965
Spinach,73905.23202880421
Garlic,24635.07734293474
Jalapeno Peppers,24635.07734293474
Fontina Cheese,49270.15468586948
Gouda Cheese,49270.15468586948
Chicken,164233.84895289826
Artichokes,24635.07734293474
Spinach,49270.15468586948
Garlic,16423.384895289826
Jalapeno Peppers,16423.384895289826
Fontina Cheese,32846.76979057965
Gouda Cheese,32846.76979057965
Chicken,82116.92447644913
Artichokes,16423.384895289826
Spinach,24635.07734293474
Garlic,8211.692447644913
Jalapeno Peppers,8211.692447644913
Fontina Cheese,16423.384895289826
Gouda Cheese,16423.384895289826
Chicken,246350.77342934738
Red Onions,98540.30937173896
Red Peppers,24635.07734293474
Mushrooms,98540.30937173896
Asiago Cheese,49270.15468586948
Alfredo Sauce,32846.76979057965
Chicken,164233.84895289826
Red Onions,65693.5395811593
Red Peppers,16423.384895289826
Mushrooms,65693.5395811593
Asiago Cheese,32846.76979057965
Alfredo Sauce,24635.07734293474
Chicken,82116.92447644913
Red Onions,32846.76979057965
Red Peppers,8211.692447644913
Mushrooms,32846.76979057965
Asiago Cheese,16423.384895289826
Alfredo Sauce,16423.384895289826
Chicken,246350.77342934738
Tomatoes,49270.15468586948
Red Peppers,24635.07734293474
Spinach,73905.23202880421
Garlic,24635.07734293474
Pesto Sauce,49270.15468586948
Chicken,164233.84895289826
Tomatoes,32846.76979057965
Red Peppers,16423.384895289826
Spinach,49270.15468586948
Garlic,16423.384895289826
Pesto Sauce,32846.76979057965
Chicken,82116.92447644913
Tomatoes,16423.384895289826
Red Peppers,8211.692447644913
Spinach,24635.07734293474
Garlic,8211.692447644913
Pesto Sauce,16423.384895289826
Pepperoni,98540.30937173896
Mushrooms,98540.30937173896
Red Onions,98540.30937173896
Red Peppers,24635.07734293474
Bacon,197080.6187434779
Pepperoni,65693.5395811593
Mushrooms,65693.5395811593
Red Onions,65693.5395811593
Red Peppers,16423.384895289826
Bacon,164233.84895289826
Pepperoni,32846.76979057965
Mushrooms,32846.76979057965
Red Onions,32846.76979057965
Red Peppers,8211.692447644913
Bacon,82116.92447644913
Mozzarella Cheese,49270.15468586948
Provolone Cheese,49270.15468586948
Smoked Gouda Cheese,49270.15468586948
Romano Cheese,49270.15468586948
Blue Cheese,49270.15468586948
Garlic,24635.07734293474
Ricotta Cheese,82116.92447644913
Gorgonzola Piccante Cheese,65693.5395811593
Mozzarella Cheese,32846.76979057965
Parmigiano Reggiano Cheese,147810.46405760842
Garlic,24635.07734293474
